,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mbini,89,GQ,1578627131,87,1.58,9.62,76.93,12.06
1,Peniche,0,PT,1578627131,81,39.36,-9.38,52.0,3.36
2,Jiblah,0,YE,1578627132,87,13.92,44.15,58.84,0.98
3,Cherskiy,100,RU,1578627132,91,68.75,161.3,-18.18,5.88
4,Vostok,100,RU,1578627132,88,46.45,135.83,13.8,2.62
5,Dakar,51,SN,1578627111,63,14.69,-17.45,66.2,18.34
6,Chokurdakh,40,RU,1578627132,97,70.62,147.9,-20.4,2.75
7,Rikitea,41,PF,1578627132,83,-23.12,-134.97,76.86,20.98
8,Boyolangu,33,ID,1578627132,67,-8.09,111.9,85.08,6.08
9,Albany,90,US,1578627003,38,42.65,-73.75,27.0,7.07
10,Busselton,0,AU,1578627132,20,-33.64,115.35,82.0,10.87
11,Addis Ababa,20,ET,1578627132,71,8.96,38.73,51.8,4.7
12,Kolpino,99,RU,1578627132,94,59.7,30.79,34.0,6.71
13,Punta Arenas,40,CL,1578627132,52,-53.16,-70.91,44.6,11.41
14,Coquimbo,0,CL,1578627132,87,-29.95,-71.34,60.8,2.24
15,Doha,75,QA,1578626861,88,25.29,51.53,69.8,9.17
16,Sayyan,0,YE,1578627132,72,15.17,44.32,50.79,5.39
17,Hobart,100,AU,1578627046,45,-42.88,147.33,66.99,1.99
18,Port Blair,100,IN,1578626877,78,11.67,92.75,80.98,16.98
19,Fairbanks,1,US,1578626833,65,64.84,-147.72,-36.4,2.3
20,Strezhevoy,100,RU,1578627133,84,60.73,77.6,8.6,11.18
21,Atuona,0,PF,1578627133,72,-9.8,-139.03,81.9,19.71
22,Comodoro Rivadavia,40,AR,1578627133,30,-45.87,-67.48,59.0,13.87
23,Taksimo,7,RU,1578627133,82,56.36,114.84,1.92,3.74
24,Rawson,0,AR,1578627133,40,-43.3,-65.11,59.58,14.76
25,New Norfolk,100,AU,1578627133,66,-42.78,147.06,72.0,7.0
26,Kinmparana,94,ML,1578627133,23,12.83,-4.92,69.78,8.59
27,Dandeli,5,IN,1578627133,88,15.34,74.49,68.0,6.93
28,San Quintin,31,PH,1578627133,52,17.54,120.52,85.06,3.53
29,Wrens,75,US,1578627133,67,33.19,-82.53,60.8,6.93
30,Meoqui,5,MX,1578627133,10,28.39,-105.62,64.4,16.11
31,Ahipara,0,NZ,1578627133,50,-35.17,173.16,82.0,5.01
32,Nyurba,91,RU,1578627133,95,63.29,118.35,-8.48,5.93
33,Marawi,50,PH,1578627133,80,8.0,124.29,82.0,7.0
34,Tautira,75,PF,1578627133,66,-17.73,-149.15,84.2,2.24
35,Charente-Maritime,0,FR,1578627133,87,45.6,-0.6,51.01,12.75
36,Saskylakh,2,RU,1578627133,98,71.97,114.09,-21.01,7.14
37,Hefei,90,CN,1578627133,100,31.82,117.22,35.6,4.47
38,Belaya Gora,0,RU,1578627133,97,68.54,146.19,-24.59,3.33
39,Gore,100,NZ,1578627133,79,-46.19,168.86,57.0,11.99
40,Hithadhoo,63,MV,1578627037,78,-0.6,73.08,82.47,15.3
